PERMNO,date,SICCD,TICKER,ACPERM,NWPERM,RET
84398,2022-02-28,6726,SPY,,,-0.029517
84398,2022-03-31,6726,SPY,,,0.037505
84398,2022-04-29,6726,SPY,,,-0.087769
84398,2022-05-31,6726,SPY,,,0.002257
84398,2022-06-30,6726,SPY,,,-0.082588
84398,2022-07-29,6726,SPY,,,0.092087
84398,2022-08-31,6726,SPY,,,-0.040802
84398,2022-09-30,6726,SPY,,,-0.092119
84398,2022-10-31,6726,SPY,,,0.081276
84398,2022-11-30,6726,SPY,,,0.055592
84398,2022-12-30,6726,SPY,,,-0.057566
84398,2023-01-31,6726,SPY,,,0.062887
84398,2023-02-28,6726,SPY,,,-0.025143
84398,2023-03-31,6726,SPY,,,0.036936
84398,2023-04-28,6726,SPY,,,0.015975
84398,2023-05-31,6726,SPY,,,0.004616
84398,2023-06-30,6726,SPY,,,0.064780
84398,2023-07-31,6726,SPY,,,0.032733
84398,2023-08-31,6726,SPY,,,-0.016252
84398,2023-09-29,6726,SPY,,,-0.047267
84398,2023-10-31,6726,SPY,,,-0.021709
84398,2023-11-30,6726,SPY,,,0.091344
84398,2023-12-29,6726,SPY,,0,0.045609
